Work,Description,Time
Freelance Tutor,Tutored TCFS students Maths 1 and 2 (Equivalent VCE Math Methods 1/2 & 3/4).,2018-2019
Crafter & Seller,Collected excessive table tennis rubber pieces and hand-crafted them into rubber products that can bring high quality at a cheaper price. This recycle idea has received positive reviews as a solution of material reusage.,2016-2017
